mpc_step,admm_iter,k,n_c,lam_n_EE-BOX,lam_t_norm_EE-BOX,gamma_EE-BOX,lam_n_T-VERT-0,lam_t_norm_T-VERT-0,gamma_T-VERT-0,lam_n_T-VERT-1,lam_t_norm_T-VERT-1,gamma_T-VERT-1,lam_n_T-VERT-2,lam_t_norm_T-VERT-2,gamma_T-VERT-2
0,6,8,4,9.440375,1.851375,0.000000,8.140440,6.196583,-0.000000,14.928289,14.613454,-0.000000,9.217613,2.718454,0.000000
0,6,9,4,8.950594,1.765739,0.000000,9.068952,6.870100,-0.000000,17.423888,17.176678,0.000000,10.980636,3.706889,-0.000000
0,6,10,4,8.379942,1.364681,0.000000,10.778499,7.921641,-0.000000,19.521665,19.326415,-0.000000,12.325435,3.691231,0.000000
0,6,11,4,7.834167,0.955036,-0.000000,12.796086,8.916569,-0.000000,21.607311,21.586250,-0.000000,14.756411,6.450451,-0.000000
0,6,12,4,7.477294,0.982678,-0.000000,10.692657,8.183165,0.000000,18.980279,18.153207,0.000000,13.499420,7.362151,-0.000000
0,6,13,4,7.654721,1.044767,-0.000000,11.163253,7.787406,-0.000000,20.427064,20.699530,0.000000,15.242769,11.871923,0.000000
0,6,14,4,7.097691,0.705923,-0.000000,2.531078,0.000000,-0.000000,7.204080,6.992725,0.000000,5.331297,4.384219,0.000000
0,6,15,4,6.223542,0.149796,0.000000,-0.000000,1.071241,0.287535,0.095396,1.407731,-0.000000,-0.000000,0.000000,0.015817
0,6,16,4,5.652848,0.074325,0.000000,-0.000000,1.538700,1.302530,0.027211,0.243211,0.683157,-0.000000,0.000000,0.358630
0,6,17,4,5.313123,0.106517,-0.000000,-0.000000,1.479744,1.611416,0.281552,0.529730,0.935784,0.000000,0.000000,0.644000
0,6,18,4,4.976075,0.182874,0.000000,-0.000000,1.534325,1.787465,0.000000,0.484190,1.128630,-0.000000,0.000000,0.855275
0,6,19,4,4.166216,0.374909,-0.000000,-0.000000,1.293726,1.828506,0.000000,0.384674,1.231735,-0.000000,0.000000,1.092552
0,7,0,4,17.152250,3.687612,0.000000,1.957934,1.626508,-0.000000,9.751778,9.755804,0.388997,3.489985,3.375352,0.396970
0,7,1,4,14.000774,2.909616,0.000000,-0.000000,2.776996,-0.000000,2.770529,2.222240,0.675059,-0.000000,0.387291,0.688895
0,7,2,4,11.490771,1.622859,0.000000,-0.000000,1.696749,-0.000000,0.693724,0.801945,0.043211,-0.000000,0.687729,0.037780
0,7,3,4,12.813701,1.773092,0.000000,4.060060,0.000000,0.000000,8.009294,7.757096,-0.000000,2.818445,5.405674,0.000000
0,7,4,4,13.407813,2.254085,0.000000,10.103825,6.433926,0.000000,19.545212,20.277206,-0.000000,9.180940,5.871441,-0.000000
0,7,5,4,11.658054,1.345046,-0.000000,10.760317,7.768511,0.000000,22.020496,22.146354,0.000000,12.554117,4.727706,0.000000
0,7,6,4,11.572644,1.443847,-0.000000,13.828621,7.651504,0.000000,25.388318,25.840999,0.000000,15.509343,2.704242,-0.000000
0,7,7,4,12.560525,1.116035,-0.000000,12.252848,8.512292,-0.000000,24.007045,24.016360,0.000000,14.791445,5.126790,-0.000000
0,7,8,4,11.957044,1.321049,0.000000,0.008046,0.260280,0.000000,7.690332,7.470406,-0.000000,2.866961,3.618564,-0.000000
0,7,9,4,8.890299,0.717532,0.000000,-0.000000,1.021240,0.298069,0.469514,1.470079,0.195881,-0.000000,0.616452,0.706842
0,7,10,4,8.381078,0.243515,0.000000,-0.000000,1.204523,2.071174,0.745402,1.054591,0.559491,-0.000000,1.247417,0.514813
0,7,11,4,8.013466,0.445826,-0.000000,-0.000000,1.377247,3.026490,1.124964,1.345797,1.099678,-0.000000,1.512272,1.135345
0,7,12,4,7.982969,0.554677,-0.000000,-0.000000,0.700463,3.398357,1.495193,2.487836,1.604695,-0.000000,1.965427,1.567703
0,7,13,4,7.440178,0.604749,0.000000,-0.000000,1.261321,3.281930,0.725491,2.253473,1.431972,-0.000000,0.227749,1.543623
0,7,14,4,7.284542,0.688911,0.000000,-0.000000,1.289869,2.412477,1.365579,2.504570,1.181896,-0.000000,0.313003,1.398459
0,7,15,4,5.920369,0.000000,0.000000,-0.000000,1.004657,0.791337,0.000000,0.682330,0.755217,-0.000000,0.311221,0.017999
0,7,16,4,5.599428,0.136236,-0.000000,-0.000000,1.274671,-0.000000,0.851367,0.836836,0.000000,-0.000000,0.976926,0.000000
0,7,17,4,6.468800,0.448058,-0.000000,5.151722,4.331298,-0.000000,10.041316,9.790426,0.000000,6.476638,1.382868,-0.000000
0,7,18,4,6.868120,0.677120,-0.000000,7.967314,6.323760,0.000000,14.433914,14.116487,-0.000000,9.212183,4.134135,0.000000
0,7,19,4,5.844527,0.592076,-0.000000,8.093352,7.164659,-0.000000,16.346971,16.322347,-0.000000,10.581118,6.057708,-0.000000
0,8,0,4,18.298402,4.323765,-0.000000,2.494102,1.130104,0.000000,10.014190,9.937199,0.480945,3.341258,3.144416,0.490803
0,8,1,4,15.331471,3.478793,0.000000,2.986873,0.000000,0.000000,7.923895,8.579222,0.654580,2.015814,1.862516,0.667997
0,8,2,4,14.944395,2.908370,-0.000000,7.954157,1.746535,-0.000000,15.897222,17.623128,0.578065,7.085990,7.210189,0.589913
0,8,3,4,16.136049,3.057928,0.000000,11.040018,4.307624,-0.000000,21.669742,21.987606,0.286552,9.842815,9.291575,0.240028
0,8,4,4,15.479161,3.085217,-0.000000,3.552083,0.000000,0.000000,13.110180,12.355413,-0.000000,4.557127,6.340049,0.000000
0,8,5,4,11.518702,1.816845,-0.000000,-0.000000,1.143965,0.916794,1.524405,1.308435,0.755129,-0.000000,1.419045,0.573438
0,8,6,4,11.811793,1.630908,-0.000000,-0.000000,1.998015,3.001727,1.782656,1.211327,1.731693,-0.000000,2.730238,0.488009
0,8,7,4,12.744165,1.494790,0.000000,-0.000000,2.609245,3.875401,1.888621,2.507275,1.686243,-0.000000,2.966079,1.070251
0,8,8,4,12.696980,1.602310,0.000000,-0.000000,2.306889,3.132370,3.275654,3.701421,1.415705,0.549910,1.170862,1.379765
0,8,9,4,8.687990,0.941036,0.000000,-0.000000,1.350864,1.246869,0.201153,0.799931,0.555244,-0.000000,0.967161,0.000000
0,8,10,4,8.520201,0.687911,0.000000,-0.000000,0.000000,0.000000,2.194468,1.181106,-0.000000,-0.000000,2.596554,-0.000000
0,8,11,4,9.899299,0.789327,0.000000,5.244176,3.729635,-0.000000,11.124129,11.613447,-0.000000,6.355973,2.423507,0.000000
0,8,12,4,10.458114,0.827685,-0.000000,8.038336,4.791130,-0.000000,16.226129,16.063404,-0.000000,10.065979,2.107055,-0.000000
0,8,13,4,10.116566,1.038281,-0.000000,8.682850,5.164765,-0.000000,15.896606,15.381567,-0.000000,9.393851,4.011497,0.000000
0,8,14,4,10.043586,1.040509,0.000000,12.212052,8.366741,0.000000,21.856341,21.657116,0.000000,13.047687,5.928375,-0.000000
0,8,15,4,8.826474,0.573448,0.000000,10.108542,7.953290,-0.000000,18.990185,17.329803,-0.000000,12.313585,6.470298,-0.000000
0,8,16,4,8.853593,0.839985,-0.000000,12.709590,9.139257,0.000000,23.107706,23.235411,0.000000,14.760646,5.889435,0.000000
0,8,17,4,9.120411,0.945852,0.000000,9.966620,7.666966,-0.000000,20.689813,20.586078,0.000000,14.084943,10.539669,0.000000
0,8,18,4,8.014706,0.414085,0.000000,-0.000000,0.000000,-0.000000,3.709077,3.508126,0.000000,2.109052,3.677455,-0.000000
0,8,19,4,5.768173,0.000000,0.000000,-0.000000,0.000000,0.566257,0.000000,0.688115,-0.000000,-0.000000,0.183104,-0.000000
0,9,0,4,18.748438,4.601584,-0.000000,4.235165,0.576427,-0.000000,11.912252,11.395818,0.554595,4.281905,4.325892,0.565962
0,9,1,4,15.554977,3.422978,-0.000000,4.454349,0.000000,0.000000,10.568104,10.427054,1.037025,3.642462,4.186199,1.058280
0,9,2,4,14.543065,2.656425,-0.000000,2.283677,1.326752,0.000000,9.161018,9.329361,1.177414,3.304597,5.072335,1.201547
0,9,3,4,13.910545,2.593016,0.000000,-0.000000,3.271143,0.349563,1.527520,2.669232,0.928082,-0.000000,0.786821,0.989628
0,9,4,4,13.601692,2.057111,-0.000000,-0.000000,3.176153,1.858590,1.825599,1.862162,1.251687,-0.000000,0.409017,0.767391
0,9,5,4,10.858460,1.409178,0.000000,-0.000000,1.981432,1.009771,0.621039,1.201472,0.381299,-0.000000,1.070377,0.263295
0,9,6,4,12.186686,1.860208,-0.000000,-0.000000,0.000000,-0.000000,3.953816,3.426360,-0.000000,0.017167,3.768107,0.203999
