t,ee_box_depth,ee_box_force_norm,n_pairs
0.592000,0.00000000,0.0000,2
0.593000,0.00000000,0.0000,2
0.593750,0.00000000,0.0000,2
0.594000,0.00000000,0.0000,2
0.595000,0.00000000,0.0000,2
0.596000,0.00000000,0.0000,2
0.597000,0.00000000,0.0000,2
0.598000,0.00000000,0.0000,2
0.599000,0.00000000,0.0000,2
0.600000,0.00000000,0.0000,2
0.600000,0.00000000,0.0000,2
0.601000,0.00000000,0.0000,2
0.602000,0.00000000,0.0000,2
0.603000,0.00000000,0.0000,2
0.604000,0.00000000,0.0000,2
0.605000,0.00000000,0.0000,2
0.606000,0.00000000,0.0000,2
0.607000,0.00000000,0.0000,2
0.608000,0.00000000,0.0000,2
0.609000,0.00000000,0.0000,2
0.609375,0.00000000,0.0000,2
0.610000,0.00000000,0.0000,2
0.610000,0.00000000,0.0000,2
0.611000,0.00000000,0.0000,2
0.612000,0.00000000,0.0000,2
0.613000,0.00000000,0.0000,2
0.614000,0.00000000,0.0000,2
0.615000,0.00000000,0.0000,2
0.616000,0.00000000,0.0000,2
0.617000,0.00000000,0.0000,2
0.618000,0.00000000,0.0000,2
0.619000,0.00000000,0.0000,2
0.620000,0.00000000,0.0000,2
0.620000,0.00000000,0.0000,2
0.621000,0.00000000,0.0000,2
0.622000,0.00000000,0.0000,2
0.623000,0.00000000,0.0000,1
0.624000,0.00000000,0.0000,1
0.625000,0.00000000,0.0000,1
0.626000,0.00000000,0.0000,1
0.627000,0.00000000,0.0000,1
0.628000,0.00000000,0.0000,1
0.629000,0.00000000,0.0000,1
0.630000,0.00000000,0.0000,1
0.630000,0.00000000,0.0000,1
0.631000,0.00000000,0.0000,1
0.632000,0.00000000,0.0000,1
0.633000,0.00000000,0.0000,1
0.634000,0.00000000,0.0000,1
0.635000,0.00000000,0.0000,1
0.636000,0.00000000,0.0000,1
0.637000,0.00000000,0.0000,1
0.638000,0.00000000,0.0000,1
0.639000,0.00000000,0.0000,1
0.640000,0.00000000,0.0000,1
0.640000,0.00000000,0.0000,1
0.640625,0.00000000,0.0000,1
0.641000,0.00000000,0.0000,1
0.642000,0.00000000,0.0000,1
0.643000,0.00000000,0.0000,1
0.644000,0.00000000,0.0000,1
0.645000,0.00000000,0.0000,1
0.646000,0.00000000,0.0000,1
0.647000,0.00000000,0.0000,1
0.648000,0.00000000,0.0000,1
0.649000,0.00000000,0.0000,1
0.650000,0.00000000,0.0000,1
0.650000,0.00000000,0.0000,1
0.651000,0.00000000,0.0000,1
0.652000,0.00000000,0.0000,1
0.653000,0.00000000,0.0000,1
0.654000,0.00000000,0.0000,1
0.655000,0.00000000,0.0000,1
0.656000,0.00000000,0.0000,1
0.656250,0.00000000,0.0000,1
0.657000,0.00000000,0.0000,1
0.658000,0.00000000,0.0000,1
0.659000,0.00000000,0.0000,1
0.660000,0.00000000,0.0000,1
0.660000,0.00000000,0.0000,1
0.661000,0.00000000,0.0000,1
0.662000,0.00000000,0.0000,1
0.663000,0.00000000,0.0000,1
0.664000,0.00000000,0.0000,1
0.665000,0.00000000,0.0000,1
0.666000,0.00000000,0.0000,1
0.667000,0.00000000,0.0000,1
0.668000,0.00000000,0.0000,1
0.669000,0.00000000,0.0000,1
0.670000,0.00000000,0.0000,1
0.670000,0.00000000,0.0000,1
0.671000,0.00000000,0.0000,1
0.671875,0.00000000,0.0000,1
0.672000,0.00000000,0.0000,1
0.673000,0.00000000,0.0000,1
0.674000,0.00000000,0.0000,1
0.675000,0.00000000,0.0000,1
