step,A_is_ee,F_W_x,F_W_y,F_W_z,F_W_mag,box_x,box_y,box_z,ee_x,ee_y,ee_z
238,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.06594,-0.00818,0.14553
239,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.06766,-0.00687,0.14391
240,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.06918,-0.00572,0.14187
241,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07051,-0.00472,0.13947
242,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07168,-0.00384,0.13678
243,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07269,-0.00307,0.13387
244,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07357,-0.0024,0.13077
245,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07434,-0.00182,0.12752
246,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.075,-0.00131,0.12414
247,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07556,-0.00087,0.12066
248,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07605,-0.00048,0.11709
249,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07648,-0.00015,0.11346
250,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07684,0.00014,0.10976
251,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07715,0.00038,0.10602
252,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07742,0.00059,0.10224
253,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07765,0.00078,0.09842
254,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07785,0.00093,0.09458
255,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07801,0.00106,0.09072
256,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07816,0.00118,0.08683
257,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07828,0.00127,0.08293
258,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07839,0.00135,0.07902
259,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07848,0.00142,0.0751
260,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07856,0.00148,0.07116
261,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07862,0.00153,0.06722
262,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07868,0.00157,0.06336
263,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07873,0.00163,0.0597
264,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07877,0.0017,0.05629
265,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.0788,0.00177,0.05318
266,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07883,0.00185,0.05038
267,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07886,0.00193,0.04787
268,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07888,0.002,0.04565
269,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07887,0.00209,0.04403
270,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07882,0.00217,0.04311
271,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07875,0.00223,0.04263
272,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07866,0.00227,0.04244
273,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07857,0.00228,0.04244
274,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07847,0.00226,0.04254
275,0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.04999,0.07837,0.00223,0.04272
276,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07826,0.00218,0.04293
277,0,0.0,0.0,0.0,0.0,-1e-05,0.0,0.04999,0.07815,0.00212,0.04316
