step,u0_Nm,lambda_n_max,eta_n_max,primal,iters,iters_max
1629,38.55,5.181,3.457,17.987,25,25
1634,32.24,5.474,3.311,14.874,25,25
1635,38.06,5.042,3.046,14.899,25,25
1640,30.65,4.644,2.992,18.29,25,25
1641,39.51,2.03,1.552,9.916,25,25
1646,31.16,2.002,1.441,10.798,25,25
1647,40.58,3.942,2.461,8.87,25,25
1652,30.11,4.187,2.472,12.772,25,25
1653,40.64,2.158,1.505,12.955,25,25
1658,24.27,2.247,1.666,8.99,25,25
1659,39.83,2.257,1.189,12.449,25,25
1664,25.0,2.026,1.424,8.862,25,25
1665,40.96,1.676,0.734,11.132,25,25
1670,30.94,1.677,1.025,13.993,25,25
